Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
18.6500       -451.6528    -454.1794       2.5265   315.3
18.7000       -452.1207    -454.3317       2.2110   275.9
18.7500       -451.8827    -454.1187       2.2360   279.0
18.8000       -451.6197    -453.8274       2.2077   275.5
18.8500       -451.5498    -453.9671       2.4173   301.6
18.9000       -451.2389    -454.0010       2.7622   344.7
18.9500       -451.1007    -453.8215       2.7209   339.5
19.0000       -451.5928    -454.1144       2.5216   314.6
19.0500       -451.4389    -453.9026       2.4637   307.4
19.1000       -452.1425    -454.3585       2.2160   276.5
19.1500       -452.1123    -454.3783       2.2660   282.8
19.2000       -451.4479    -454.0338       2.5859   322.7
19.2500       -451.5919    -453.9298       2.3379   291.7
19.3000       -451.4031    -453.9570       2.5539   318.7
19.3500       -451.6787    -454.2078       2.5291   315.6
19.4000       -451.6418    -454.0977       2.4560   306.5
19.4500       -451.2309    -453.7188       2.4879   310.4
19.5000       -450.8386    -453.7821       2.9435   367.3
19.5500       -451.2059    -453.8666       2.6607   332.0
19.6000       -451.9042    -454.1690       2.2648   282.6
19.6500       -451.7267    -453.8732       2.1466   267.8
19.7000       -451.6228    -454.0463       2.4235   302.4
19.7500       -451.6202    -453.8951       2.2749   283.9
19.8000       -452.3232    -454.2903       1.9671   245.5
19.8500       -451.4736    -454.0154       2.5418   317.2
19.9000       -451.6845    -454.1136       2.4291   303.1
19.9500       -451.7247    -454.2786       2.5540   318.7
20.0000       -451.6710    -454.1548       2.4838   309.9
20.0500       -451.5787    -454.0547       2.4760   309.0
20.1000       -451.5093    -454.0713       2.5620   319.7
20.1500       -451.4689    -453.6674       2.1985   274.3
20.2000       -451.6420    -453.9867       2.3446   292.6
20.2500       -451.4238    -454.1510       2.7272   340.3
20.3000       -451.4076    -453.9126       2.5051   312.6
20.3500       -451.1257    -453.8326       2.7069   337.8
20.4000       -451.2118    -453.7462       2.5343   316.2
20.4500       -451.2130    -453.7254       2.5123   313.5
20.5000       -451.4953    -453.5286       2.0333   253.7
20.5500       -451.2018    -453.5661       2.3643   295.0
20.6000       -451.1377    -453.6914       2.5537   318.7
20.6500       -451.6062    -454.1083       2.5021   312.2
20.7000       -451.8243    -454.1874       2.3631   294.9
20.7500       -451.9615    -454.1168       2.1553   268.9
20.8000       -451.8579    -454.1111       2.2532   281.2
20.8500       -451.3678    -453.6694       2.3016   287.2
20.9000       -451.5032    -454.5444       3.0412   379.5
20.9500       -451.4092    -453.5890       2.1797   272.0
21.0000       -451.9467    -454.1257       2.1791   271.9
21.0500       -451.7131    -454.4807       2.7676   345.3
21.1000       -451.9188    -454.3287       2.4099   300.7
21.1500       -451.6821    -454.4124       2.7303   340.7
21.2000       -451.1773    -453.8416       2.6642   332.4
21.2500       -451.3251    -453.8683       2.5432   317.3
21.3000       -451.6381    -454.3717       2.7336   341.1
21.3500       -451.2170    -453.4109       2.1939   273.8
21.4000       -451.3837    -453.9094       2.5257   315.2
21.4500       -451.2414    -453.9707       2.7293   340.6
21.5000       -451.8133    -454.0804       2.2670   282.9
21.5500       -451.5676    -453.8769       2.3093   288.2
21.6000       -451.5815    -453.9007       2.3192   289.4
21.6500       -452.2317    -454.3466       2.1149   263.9
21.7000       -452.3271    -454.3657       2.0385   254.4
21.7500       -452.2091    -454.1903       1.9812   247.2
21.8000       -451.7400    -453.5773       1.8373   229.3
21.8500       -452.1719    -454.3692       2.1972   274.2
21.9000       -452.3538    -454.4459       2.0921   261.0
21.9500       -452.1810    -454.2557       2.0747   258.9
22.0000       -452.2418    -454.1118       1.8700   233.3
22.0500       -452.1296    -454.3112       2.1816   272.2
22.1000       -452.0600    -454.2224       2.1624   269.8
22.1500       -451.7627    -454.2550       2.4923   311.0
22.2000       -451.6724    -454.1426       2.4702   308.2
22.2500       -451.3069    -453.6766       2.3697   295.7
22.3000       -451.6366    -454.4277       2.7911   348.3
22.3500       -451.1415    -453.8180       2.6765   334.0
22.4000       -451.7178    -454.2637       2.5459   317.7
22.4500       -451.7880    -454.0591       2.2711   283.4
22.5000       -451.5345    -453.7220       2.1875   273.0
22.5500       -451.7364    -454.1095       2.3732   296.1
22.6000       -451.6855    -453.8306       2.1450   267.7
22.6500       -451.4269    -453.7027       2.2758   284.0
22.7000       -451.5084    -453.9168       2.4084   300.5
22.7500       -451.8567    -454.1949       2.3382   291.8
22.8000       -451.4565    -453.8909       2.4344   303.8
22.8500       -451.7093    -454.1083       2.3990   299.4
22.9000       -451.9756    -454.2884       2.3127   288.6
22.9500       -452.2853    -454.1292       1.8439   230.1
23.0000       -452.2521    -454.5375       2.2854   285.2
23.0500       -452.1169    -454.0298       1.9128   238.7
23.1000       -451.7321    -453.7400       2.0079   250.5
23.1500       -451.6528    -454.0338       2.3810   297.1
23.2000       -451.8983    -454.2637       2.3654   295.2
23.2500       -451.5029    -453.6154       2.1125   263.6
23.3000       -451.4067    -453.9999       2.5932   323.6
23.3500       -451.3587    -454.1569       2.7982   349.2
23.4000       -451.3133    -454.0947       2.7815   347.1
23.4500       -451.4240    -453.6360       2.2120   276.0
23.5000       -451.3454    -453.7279       2.3825   297.3
23.5500       -451.3163    -454.0140       2.6978   336.6
23.6000       -451.2708    -453.7574       2.4866   310.3
23.6500       -450.6519    -453.4219       2.7701   345.6
23.7000       -451.1919    -453.8152       2.6234   327.3
23.7500       -451.2353    -453.6835       2.4482   305.5
23.8000       -451.4289    -454.1637       2.7348   341.2
23.8500       -451.1743    -453.8525       2.6782   334.2
23.9000       -451.0908    -453.7890       2.6982   336.7
23.9500       -451.1723    -453.6546       2.4823   309.7
24.0000       -450.8521    -453.5548       2.7027   337.2
24.0500       -451.5407    -453.9314       2.3907   298.3
24.1000       -451.4213    -453.8098       2.3885   298.0
24.1500       -451.0106    -453.6711       2.6605   332.0
24.2000       -451.5951    -453.7955       2.2004   274.6
24.2500       -451.5095    -453.8914       2.3819   297.2
24.3000       -451.0713    -453.9909       2.9196   364.3
24.3500       -451.3682    -453.6945       2.3263   290.3
24.4000       -451.1637    -453.3215       2.1578   269.2
24.4500       -451.3950    -454.0724       2.6774   334.1
24.5000       -451.4294    -453.9787       2.5493   318.1
24.5500       -451.1668    -453.6010       2.4343   303.7
24.6000       -450.9338    -453.9084       2.9746   371.2
24.6500       -451.8449    -454.2523       2.4074   300.4
24.7000       -451.7237    -454.2867       2.5630   319.8
24.7500       -451.5389    -453.9578       2.4188   301.8
24.8000       -451.6629    -453.8365       2.1736   271.2
24.8500       -452.0743    -454.2576       2.1833   272.4
24.9000       -451.6714    -453.9487       2.2772   284.2
24.9500       -451.2887    -453.8602       2.5714   320.9
25.0000       -451.6007    -453.9477       2.3470   292.9
25.0500       -452.1719    -454.1608       1.9890   248.2
25.1000       -451.9828    -454.1892       2.2064   275.3
25.1500       -451.9307    -454.1995       2.2688   283.1
25.2000       -451.4896    -453.5357       2.0462   255.3
25.2500       -451.3407    -454.0916       2.7509   343.3
25.3000       -451.4731    -454.1305       2.6574   331.6
25.3500       -451.4091    -453.9079       2.4988   311.8
25.4000       -451.6212    -453.9221       2.3009   287.1
25.4500       -451.7397    -454.0977       2.3581   294.2
25.5000       -451.2300    -453.4853       2.2553   281.4
25.5500       -451.5904    -454.0606       2.4702   308.2
25.6000       -451.5391    -453.8099       2.2708   283.4
25.6500       -451.7178    -454.0110       2.2932   286.1
25.7000       -451.4912    -453.8441       2.3529   293.6
25.7500       -451.3123    -454.0275       2.7152   338.8
25.8000       -450.9318    -453.4705       2.5387   316.8
25.8500       -451.3094    -453.8873       2.5779   321.7
25.9000       -451.3227    -454.0671       2.7444   342.4
25.9500       -451.8971    -454.3714       2.4744   308.7
26.0000       -451.9626    -454.0221       2.0596   257.0
26.0500       -452.1847    -454.2147       2.0300   253.3
26.1000       -451.5339    -453.8712       2.3373   291.6
26.1500       -451.5758    -454.0056       2.4298   303.2
26.2000       -452.0597    -454.2097       2.1500   268.3
26.2500       -452.3599    -454.3782       2.0183   251.8
26.3000       -452.1810    -454.2968       2.1158   264.0
26.3500       -452.1324    -454.0858       1.9533   243.7
26.4000       -452.1611    -454.1461       1.9849   247.7
26.4500       -451.9505    -454.3289       2.3784   296.8
26.5000       -451.4617    -454.0840       2.6224   327.2
26.5500       -452.2704    -454.3029       2.0324   253.6
