Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
20.9000       -347.0370    -922.7046     575.6676  50608.7
20.9500       -490.2775   -1064.8612     574.5837  50513.4
21.0000       -434.9576   -1051.6027     616.6451  54211.2
21.0500       -143.5315    -917.5308     773.9994  68044.6
21.1000       -321.9794    -953.4427     631.4633  55513.9
21.1500       -502.5119   -1160.5736     658.0617  57852.2
21.2000         12.8310    -963.8028     976.6339  85858.9
21.2500         12.6768    -969.7917     982.4686  86371.8
21.3000         35.8466   -1005.5055    1041.3521  91548.4
21.3500        620.6171    -997.2794    1617.8964  142234.2
21.4000        845.6750    -884.8364    1730.5114  152134.5
21.4500        515.2941   -1029.2968    1544.5909  135789.7
21.5000        169.9416    -845.9722    1015.9138  89312.1
21.5500       -333.4708    -912.5109     579.0401  50905.2
21.6000       -367.2255    -884.0497     516.8241  45435.6
21.6500        -16.7627   -1025.4771    1008.7144  88679.2
21.7000       -395.6418    -999.2828     603.6410  53067.9
21.7500       1181.6648    -966.2759    2147.9407  188832.0
21.8000        296.2104    -996.6541    1292.8644  113659.6
21.8500         -4.2535   -1022.0262    1017.7727  89475.5
21.9000        176.3712   -1032.5255    1208.8967  106277.8
21.9500         33.1352   -1053.6345    1086.7697  95541.2
22.0000        189.8151   -1086.4763    1276.2913  112202.7
22.0500        -74.1873   -1040.9474     966.7601  84990.8
22.1000       -404.5917   -1011.9851     607.3934  53397.8
22.1500       -178.0039    -961.9120     783.9081  68915.7
22.2000       -390.9167    -975.4476     584.5309  51387.9
22.2500       -110.4285   -1031.7178     921.2893  80993.4
22.3000       -221.7729   -1007.1755     785.4025  69047.1
22.3500       -130.5965   -1041.7831     911.1865  80105.2
22.4000         -1.1805   -1117.1152    1115.9347  98105.2
22.4500        862.5767    -917.6522    1780.2289  156505.3
22.5000       1319.9113    -925.1424    2245.0537  197369.5
22.5500       1282.1152    -805.6513    2087.7665  183541.9
22.6000        371.7047    -899.8116    1271.5163  111782.9
22.6500         91.1339    -928.8353    1019.9693  89668.6
22.7000       -392.1589   -1000.5968     608.4379  53489.6
22.7500       1065.3656    -956.3679    2021.7335  177736.7
22.8000         17.9461   -1003.4751    1021.4212  89796.2
22.8500        147.5604    -975.4723    1123.0327  98729.2
22.9000       -317.4752   -1000.3486     682.8734  60033.5
22.9500        803.0407    -914.9635    1718.0041  151035.0
23.0000        970.7698    -797.3835    1768.1533  155443.7
23.0500        179.8371    -867.4712    1047.3084  92072.1
23.1000        113.8808    -856.9008     970.7816  85344.4
23.1500        896.3002    -822.3991    1718.6994  151096.1
23.2000       -110.1360    -858.8839     748.7479  65824.7
23.2500       -271.4492    -926.5034     655.0542  57587.8
23.3000        -56.3864    -971.8863     915.4999  80484.4
23.3500       -420.9824    -952.1938     531.2114  46700.4
23.4000       -346.8159    -963.7317     616.9158  54235.0
23.4500       -428.0299   -1025.8350     597.8051  52554.9
23.5000         -0.2762    -989.4518     989.1756  86961.4
23.5500       1548.5629    -780.5681    2329.1310  204761.0
23.6000        651.6002    -828.2280    1479.8282  130096.2
23.6500        136.9754    -933.5969    1070.5724  94117.3
23.7000        162.8886    -912.7755    1075.6642  94564.9
23.7500        282.3930    -863.4823    1145.8753  100737.4
23.8000        -33.8546    -867.1957     833.3411  73261.6
23.8500       -273.2197    -863.1703     589.9506  51864.4
23.9000       -583.3969   -1047.9108     464.5138  40836.8
23.9500       -482.6459   -1048.5190     565.8731  49747.6
24.0000         84.4668    -996.3850    1080.8518  95021.0
24.0500       -267.7898   -1071.3496     803.5598  70643.4
24.1000        209.6493   -1095.1916    1304.8409  114712.5
24.1500        108.1385   -1048.0428    1156.1813  101643.4
24.2000          4.0179    -865.7147     869.7325  76460.8
24.2500        -27.2569    -961.1901     933.9331  82104.9
24.3000        286.9880    -914.0247    1201.0126  105584.7
24.3500       -141.7601    -889.0934     747.3333  65700.3
24.4000        159.0461    -846.1388    1005.1850  88368.9
24.4500       -204.0926    -941.5629     737.4703  64833.3
24.5000       -514.1073   -1064.4055     550.2982  48378.4
24.5500        -80.4555   -1012.0029     931.5473  81895.2
24.6000       -448.1174    -981.5194     533.4020  46893.0
24.6500       -528.3480   -1041.3282     512.9802  45097.6
24.7000       -380.6042   -1014.1283     633.5241  55695.0
24.7500       -463.3390    -964.6089     501.2699  44068.2
24.8000       -528.5545   -1114.4071     585.8526  51504.1
24.8500       -319.2481    -992.9879     673.7398  59230.5
24.9000       -219.8837    -934.6625     714.7788  62838.4
24.9500       -483.3406    -979.0573     495.7167  43580.0
25.0000       -188.2181    -925.1737     736.9556  64788.0
25.0500       -305.6922   -1052.3679     746.6757  65642.5
25.1000       -123.0699    -990.2063     867.1365  76232.6
25.1500        464.9908    -939.2387    1404.2296  123450.1
25.2000        647.5811   -1044.8311    1692.4122  148785.1
25.2500       -215.8680   -1171.3642     955.4962  84000.6
25.3000         15.5537    -997.3228    1012.8765  89045.1
25.3500       -218.7703    -965.8169     747.0465  65675.1
25.4000       -389.6360   -1123.1369     733.5010  64484.3
25.4500       -520.7428   -1037.4534     516.7107  45425.6
25.5000       -480.4286   -1120.4633     640.0346  56267.4
25.5500       -615.8927   -1101.2321     485.3394  42667.7
25.6000       -582.1819   -1185.6019     603.4200  53048.5
25.6500       -166.1207    -998.1307     832.0099  73144.5
