#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   1332      4.32e+00    4.82e+00      1.37e-02    1.56e-02      1.37e-01    1.53e-01    1.0e-03
   1341      5.35e+00    5.09e+00      9.75e-03    9.13e-03      1.69e-01    1.61e-01    1.0e-03
   1350      5.05e+00    5.30e+00      2.47e-02    2.48e-02      1.60e-01    1.68e-01    1.0e-03
   1359      5.24e+00    4.83e+00      2.98e-02    3.12e-02      1.66e-01    1.53e-01    1.0e-03
   1368      4.24e+00    4.68e+00      4.77e-02    4.90e-02      1.34e-01    1.48e-01    1.0e-03
   1377      4.74e+00    4.79e+00      6.48e-04    1.43e-03      1.50e-01    1.52e-01    1.0e-03
   1386      5.07e+00    4.81e+00      1.31e-02    1.39e-02      1.60e-01    1.52e-01    1.0e-03
   1395      5.07e+00    4.99e+00      2.63e-02    2.55e-02      1.60e-01    1.58e-01    1.0e-03
   1404      6.11e+00    5.11e+00      3.21e-02    3.12e-02      1.93e-01    1.62e-01    1.0e-03
   1413      4.72e+00    4.91e+00      1.36e-02    1.30e-02      1.49e-01    1.55e-01    1.0e-03
   1422      4.77e+00    4.81e+00      2.02e-02    1.88e-02      1.51e-01    1.52e-01    1.0e-03
   1431      5.06e+00    4.70e+00      1.48e-02    1.38e-02      1.60e-01    1.49e-01    1.0e-03
   1440      4.39e+00    4.61e+00      2.96e-02    2.91e-02      1.39e-01    1.46e-01    1.0e-03
   1449      4.07e+00    4.66e+00      1.21e-03    1.41e-03      1.29e-01    1.47e-01    1.0e-03
   1458      4.45e+00    4.71e+00      3.06e-02    3.09e-02      1.41e-01    1.49e-01    1.0e-03
   1467      4.43e+00    4.73e+00      1.95e-03    2.57e-03      1.40e-01    1.50e-01    1.0e-03
   1476      4.68e+00    4.55e+00      1.57e-02    1.57e-02      1.48e-01    1.44e-01    1.0e-03
   1485      4.97e+00    4.74e+00      3.08e-04    1.06e-03      1.57e-01    1.50e-01    1.0e-03
   1494      6.04e+00    4.83e+00      7.23e-03    5.87e-03      1.91e-01    1.53e-01    1.0e-03
   1503      5.44e+00    5.04e+00      1.54e-02    1.54e-02      1.72e-01    1.59e-01    1.0e-03
   1512      4.14e+00    4.74e+00      1.65e-02    1.81e-02      1.31e-01    1.50e-01    1.0e-03
   1521      4.36e+00    4.77e+00      1.35e-02    1.30e-02      1.38e-01    1.51e-01    1.0e-03
   1530      4.48e+00    4.63e+00      3.13e-02    3.07e-02      1.42e-01    1.47e-01    1.0e-03
   1539      5.12e+00    4.67e+00      3.34e-02    3.45e-02      1.62e-01    1.48e-01    1.0e-03
   1548      4.24e+00    4.84e+00      2.81e-02    2.78e-02      1.34e-01    1.53e-01    1.0e-03
   1557      4.79e+00    4.69e+00      4.11e-03    4.27e-03      1.51e-01    1.48e-01    1.0e-03
   1566      4.94e+00    4.91e+00      1.98e-02    2.07e-02      1.56e-01    1.55e-01    1.0e-03
   1575      5.13e+00    5.11e+00      5.05e-02    5.15e-02      1.62e-01    1.61e-01    1.0e-03
   1584      4.92e+00    4.93e+00      7.06e-02    6.98e-02      1.56e-01    1.56e-01    1.0e-03
   1593      5.08e+00    4.80e+00      1.85e-02    1.82e-02      1.61e-01    1.52e-01    1.0e-03
   1602      4.17e+00    4.64e+00      2.22e-02    2.25e-02      1.32e-01    1.47e-01    1.0e-03
   1611      4.39e+00    4.50e+00      3.54e-02    3.74e-02      1.39e-01    1.42e-01    1.0e-03
   1620      6.20e+00    5.15e+00      2.21e-02    2.41e-02      1.96e-01    1.63e-01    1.0e-03
   1629      4.63e+00    4.68e+00      4.49e-02    4.51e-02      1.46e-01    1.48e-01    1.0e-03
   1638      4.24e+00    4.72e+00      3.03e-02    3.10e-02      1.34e-01    1.49e-01    1.0e-03
   1647      4.77e+00    4.60e+00      1.04e-02    1.10e-02      1.51e-01    1.46e-01    1.0e-03
   1656      4.75e+00    4.63e+00      1.95e-02    1.97e-02      1.50e-01    1.46e-01    1.0e-03
   1665      4.24e+00    4.49e+00      1.97e-02    2.02e-02      1.34e-01    1.42e-01    1.0e-03
   1674      4.21e+00    4.72e+00      1.00e-02    8.49e-03      1.33e-01    1.49e-01    1.0e-03
   1683      5.48e+00    4.56e+00      2.06e-03    1.69e-03      1.73e-01    1.44e-01    1.0e-03
   1692      4.38e+00    4.61e+00      2.45e-02    2.41e-02      1.39e-01    1.46e-01    1.0e-03
   1701      4.10e+00    4.53e+00      2.88e-02    2.73e-02      1.30e-01    1.43e-01    1.0e-03
   1710      3.96e+00    4.51e+00      2.44e-03    2.67e-03      1.25e-01    1.43e-01    1.0e-03
   1719      4.95e+00    4.81e+00      1.39e-02    1.28e-02      1.57e-01    1.52e-01    1.0e-03
   1728      4.26e+00    4.51e+00      1.85e-02    1.87e-02      1.35e-01    1.42e-01    1.0e-03
   1737      4.59e+00    4.63e+00      5.53e-04    1.47e-03      1.45e-01    1.46e-01    1.0e-03
   1746      4.23e+00    4.86e+00      1.15e-04    1.44e-03      1.34e-01    1.54e-01    1.0e-03
   1755      4.68e+00    4.78e+00      3.27e-02    3.18e-02      1.48e-01    1.51e-01    1.0e-03
   1764      5.41e+00    5.01e+00      6.51e-02    6.45e-02      1.71e-01    1.58e-01    1.0e-03
   1773      4.80e+00    4.59e+00      5.76e-02    5.64e-02      1.52e-01    1.45e-01    1.0e-03
   1782      4.23e+00    4.45e+00      4.08e-02    4.21e-02      1.34e-01    1.41e-01    1.0e-03
