Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
10.7500       -570.5119    -574.5707       4.0588   356.8
10.8000       -570.0485    -574.0686       4.0201   353.4
10.8500       -570.3683    -573.9630       3.5947   316.0
10.9000       -570.7528    -574.6933       3.9405   346.4
10.9500       -571.3743    -574.6053       3.2310   284.0
11.0000       -570.9538    -574.5757       3.6219   318.4
11.0500       -570.5306    -574.1237       3.5931   315.9
11.1000       -571.4528    -574.8625       3.4097   299.8
11.1500       -571.3992    -574.4557       3.0564   268.7
11.2000       -571.8229    -575.2721       3.4492   303.2
11.2500       -571.1032    -574.7365       3.6333   319.4
11.3000       -571.8423    -574.7861       2.9438   258.8
11.3500       -571.6695    -575.0571       3.3876   297.8
11.4000       -571.9474    -575.1972       3.2498   285.7
11.4500       -571.4169    -574.7819       3.3649   295.8
11.5000       -571.6263    -574.8644       3.2380   284.7
11.5500       -571.6349    -574.5109       2.8760   252.8
11.6000       -571.9058    -575.0175       3.1117   273.6
11.6500       -571.9625    -575.1305       3.1680   278.5
11.7000       -572.1394    -575.4600       3.3206   291.9
11.7500       -572.0724    -575.1644       3.0920   271.8
11.8000       -571.9388    -575.0616       3.1228   274.5
11.8500       -571.9136    -574.6811       2.7675   243.3
11.9000       -572.0083    -575.1319       3.1236   274.6
11.9500       -571.6526    -574.3430       2.6904   236.5
12.0000       -571.4275    -575.0798       3.6523   321.1
12.0500       -571.2627    -574.8086       3.5459   311.7
12.1000       -571.5333    -575.0635       3.5302   310.4
12.1500       -571.5929    -574.5308       2.9379   258.3
12.2000       -571.7475    -574.8927       3.1452   276.5
12.2500       -571.9466    -575.2976       3.3510   294.6
12.3000       -572.2184    -575.3503       3.1319   275.3
12.3500       -572.0580    -575.3811       3.3231   292.1
12.4000       -571.9238    -575.2713       3.3474   294.3
12.4500       -571.7971    -575.1524       3.3553   295.0
12.5000       -571.3799    -574.9328       3.5529   312.3
12.5500       -572.4349    -575.6090       3.1740   279.0
12.6000       -572.2208    -574.9661       2.7453   241.4
12.6500       -572.1607    -575.3090       3.1483   276.8
12.7000       -571.9980    -575.0922       3.0942   272.0
12.7500       -571.8345    -574.6095       2.7749   244.0
12.8000       -571.7555    -574.9135       3.1580   277.6
12.8500       -571.9034    -575.1118       3.2083   282.1
12.9000       -571.5645    -575.1011       3.5366   310.9
12.9500       -571.3329    -574.6275       3.2946   289.6
13.0000       -571.5864    -575.0831       3.4967   307.4
13.0500       -571.5782    -575.1265       3.5483   311.9
13.1000       -572.1575    -575.0090       2.8515   250.7
13.1500       -571.5339    -574.9345       3.4006   299.0
13.2000       -571.0258    -574.4806       3.4548   303.7
13.2500       -571.0767    -574.3494       3.2727   287.7
13.3000       -570.8553    -574.2847       3.4293   301.5
13.3500       -571.1941    -574.6038       3.4097   299.8
13.4000       -570.6487    -575.0036       4.3549   382.9
13.4500       -570.2575    -573.7722       3.5147   309.0
13.5000       -570.4493    -574.5436       4.0944   359.9
13.5500       -571.3216    -574.8491       3.5276   310.1
13.6000       -571.1153    -574.7062       3.5909   315.7
13.6500       -571.3413    -574.9120       3.5706   313.9
13.7000       -571.1052    -574.4610       3.3558   295.0
13.7500       -571.4821    -574.6934       3.2113   282.3
13.8000       -571.2982    -574.7554       3.4571   303.9
13.8500       -571.4615    -574.6819       3.2204   283.1
13.9000       -571.2606    -574.8489       3.5883   315.5
13.9500       -570.9775    -574.6550       3.6775   323.3
14.0000       -571.7134    -574.9635       3.2502   285.7
14.0500       -571.2549    -574.3531       3.0982   272.4
14.1000       -571.1602    -574.5293       3.3691   296.2
14.1500       -570.9662    -574.7096       3.7434   329.1
14.2000       -571.2659    -574.5204       3.2545   286.1
14.2500       -571.4039    -574.5809       3.1770   279.3
14.3000       -571.6044    -574.8730       3.2686   287.4
14.3500       -572.0933    -575.6733       3.5799   314.7
14.4000       -571.8504    -575.2511       3.4006   299.0
14.4500       -571.5451    -574.5592       3.0141   265.0
14.5000       -571.2109    -575.3767       4.1658   366.2
14.5500       -570.5504    -574.2229       3.6724   322.9
14.6000       -570.1193    -574.1166       3.9973   351.4
14.6500       -570.5925    -574.6592       4.0667   357.5
14.7000       -570.7812    -574.4248       3.6436   320.3
14.7500       -570.9220    -574.2933       3.3714   296.4
14.8000       -570.6805    -574.4788       3.7982   333.9
14.8500       -571.1086    -574.6809       3.5722   314.0
14.9000       -571.1213    -574.8798       3.7585   330.4
14.9500       -571.0416    -574.4132       3.3716   296.4
15.0000       -571.3814    -574.4898       3.1084   273.3
15.0500       -571.1860    -574.7574       3.5714   314.0
15.1000       -571.4599    -574.7416       3.2817   288.5
15.1500       -571.0892    -574.8188       3.7297   327.9
15.2000       -570.7831    -574.3329       3.5498   312.1
15.2500       -570.5988    -574.2679       3.6692   322.6
15.3000       -570.9755    -574.3800       3.4045   299.3
15.3500       -571.2953    -574.9682       3.6729   322.9
