#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    396      4.00e+00    4.04e+00      2.85e-03    3.85e-03      2.72e-01    2.75e-01    2.1e-04
    398      3.82e+00    4.07e+00      2.85e-03    4.49e-03      2.60e-01    2.77e-01    2.1e-04
    400      3.05e+00    3.15e+00      6.49e-03    5.84e-03      2.68e-01    2.77e-01    1.3e-04
    402      3.01e+00    3.13e+00      2.96e-03    5.26e-03      2.64e-01    2.75e-01    1.3e-04
    404      2.97e+00    3.12e+00      2.13e-03    4.36e-03      2.61e-01    2.74e-01    1.3e-04
    406      3.08e+00    3.13e+00      6.60e-03    4.92e-03      2.70e-01    2.75e-01    1.3e-04
    408      3.02e+00    3.16e+00      3.70e-03    4.22e-03      2.65e-01    2.78e-01    1.3e-04
    410      3.04e+00    3.16e+00      2.46e-03    4.66e-03      2.67e-01    2.77e-01    1.3e-04
    412      3.01e+00    3.13e+00      5.74e-03    3.92e-03      2.64e-01    2.75e-01    1.3e-04
    414      3.01e+00    3.14e+00      3.18e-03    3.69e-03      2.65e-01    2.76e-01    1.3e-04
    416      3.01e+00    3.20e+00      2.73e-03    4.71e-03      2.65e-01    2.81e-01    1.3e-04
    418      3.02e+00    3.16e+00      4.17e-03    4.33e-03      2.66e-01    2.78e-01    1.3e-04
    420      3.01e+00    3.09e+00      3.72e-03    3.83e-03      2.65e-01    2.71e-01    1.3e-04
    422      3.04e+00    3.10e+00      2.64e-03    4.00e-03      2.67e-01    2.73e-01    1.3e-04
    424      3.08e+00    3.16e+00      3.79e-03    4.38e-03      2.71e-01    2.78e-01    1.3e-04
    426      2.98e+00    3.14e+00      3.57e-03    4.16e-03      2.62e-01    2.76e-01    1.3e-04
    428      3.02e+00    3.12e+00      3.15e-03    4.02e-03      2.65e-01    2.74e-01    1.3e-04
    430      3.02e+00    3.10e+00      3.56e-03    4.15e-03      2.65e-01    2.72e-01    1.3e-04
    432      3.05e+00    3.13e+00      3.59e-03    4.30e-03      2.68e-01    2.75e-01    1.3e-04
    434      2.99e+00    3.13e+00      2.87e-03    3.72e-03      2.63e-01    2.75e-01    1.3e-04
    436      3.04e+00    3.10e+00      3.52e-03    3.52e-03      2.67e-01    2.73e-01    1.3e-04
    438      2.98e+00    3.08e+00      2.97e-03    3.57e-03      2.62e-01    2.71e-01    1.3e-04
    440      3.09e+00    3.13e+00      3.29e-03    3.60e-03      2.72e-01    2.75e-01    1.3e-04
    442      2.93e+00    3.12e+00      3.12e-03    4.11e-03      2.58e-01    2.74e-01    1.3e-04
