#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   2546      4.23e+00    4.16e+00      5.29e-02    5.32e-02      1.34e-01    1.32e-01    1.0e-03
   2565      3.98e+00    4.15e+00      1.72e-02    1.71e-02      1.26e-01    1.31e-01    1.0e-03
   2584      4.27e+00    4.26e+00      1.80e-02    1.76e-02      1.35e-01    1.35e-01    1.0e-03
   2603      3.89e+00    4.20e+00      2.21e-02    2.24e-02      1.23e-01    1.33e-01    1.0e-03
   2622      4.54e+00    4.69e+00      7.74e-02    7.71e-02      1.44e-01    1.48e-01    1.0e-03
   2641      4.04e+00    4.15e+00      1.09e-03    1.46e-03      1.28e-01    1.31e-01    1.0e-03
   2660      3.97e+00    4.34e+00      5.23e-02    5.27e-02      1.26e-01    1.37e-01    1.0e-03
   2679      4.18e+00    4.20e+00      3.02e-03    3.14e-03      1.32e-01    1.33e-01    1.0e-03
   2698      4.00e+00    4.03e+00      3.67e-03    3.99e-03      1.27e-01    1.27e-01    1.0e-03
   2717      4.56e+00    4.61e+00      2.80e-02    2.79e-02      1.44e-01    1.46e-01    1.0e-03
   2736      3.97e+00    4.28e+00      5.12e-03    5.28e-03      1.25e-01    1.35e-01    1.0e-03
   2755      4.09e+00    4.23e+00      5.42e-03    5.73e-03      1.29e-01    1.34e-01    1.0e-03
   2774      4.11e+00    4.06e+00      2.16e-03    1.89e-03      1.30e-01    1.29e-01    1.0e-03
   2793      4.90e+00    4.94e+00      5.87e-02    5.81e-02      1.55e-01    1.56e-01    1.0e-03
   2812      4.38e+00    4.44e+00      2.00e-02    2.01e-02      1.38e-01    1.40e-01    1.0e-03
   2831      3.97e+00    4.39e+00      5.29e-03    5.20e-03      1.25e-01    1.39e-01    1.0e-03
   2850      3.85e+00    4.02e+00      2.64e-02    2.67e-02      1.22e-01    1.27e-01    1.0e-03
   2869      4.31e+00    4.25e+00      1.30e-02    1.33e-02      1.36e-01    1.34e-01    1.0e-03
   2888      3.88e+00    4.01e+00      3.98e-02    4.05e-02      1.23e-01    1.27e-01    1.0e-03
   2907      4.27e+00    4.36e+00      2.62e-02    2.63e-02      1.35e-01    1.38e-01    1.0e-03
   2926      4.23e+00    4.46e+00      4.15e-02    4.13e-02      1.34e-01    1.41e-01    1.0e-03
   2945      4.13e+00    4.08e+00      3.72e-03    4.18e-03      1.31e-01    1.29e-01    1.0e-03
   2964      4.07e+00    4.30e+00      8.10e-03    8.67e-03      1.29e-01    1.36e-01    1.0e-03
   2983      3.91e+00    4.31e+00      2.06e-02    2.07e-02      1.24e-01    1.36e-01    1.0e-03
   3002      4.51e+00    4.52e+00      2.70e-02    2.69e-02      1.43e-01    1.43e-01    1.0e-03
   3021      4.05e+00    4.04e+00      1.50e-02    1.50e-02      1.28e-01    1.28e-01    1.0e-03
   3040      4.06e+00    4.25e+00      2.25e-02    2.29e-02      1.28e-01    1.34e-01    1.0e-03
   3059      3.92e+00    4.19e+00      3.57e-03    3.95e-03      1.24e-01    1.32e-01    1.0e-03
   3078      3.72e+00    4.08e+00      4.16e-02    4.16e-02      1.18e-01    1.29e-01    1.0e-03
   3097      4.18e+00    4.21e+00      2.18e-02    2.19e-02      1.32e-01    1.33e-01    1.0e-03
   3116      4.02e+00    4.21e+00      3.53e-03    3.26e-03      1.27e-01    1.33e-01    1.0e-03
   3135      3.72e+00    3.96e+00      2.70e-03    3.07e-03      1.18e-01    1.25e-01    1.0e-03
   3154      3.84e+00    3.99e+00      9.05e-03    9.06e-03      1.22e-01    1.26e-01    1.0e-03
   3173      4.15e+00    4.20e+00      6.41e-03    6.53e-03      1.31e-01    1.33e-01    1.0e-03
   3192      3.96e+00    4.13e+00      2.30e-02    2.29e-02      1.25e-01    1.31e-01    1.0e-03
   3211      4.19e+00    4.42e+00      1.27e-02    1.30e-02      1.33e-01    1.40e-01    1.0e-03
   3230      4.05e+00    4.04e+00      1.28e-02    1.27e-02      1.28e-01    1.28e-01    1.0e-03
   3249      3.93e+00    3.86e+00      5.69e-03    6.20e-03      1.24e-01    1.22e-01    1.0e-03
   3268      4.30e+00    4.49e+00      1.16e-02    1.20e-02      1.36e-01    1.42e-01    1.0e-03
   3287      3.82e+00    4.03e+00      1.37e-02    1.43e-02      1.21e-01    1.27e-01    1.0e-03
   3306      3.99e+00    3.78e+00      3.34e-03    3.25e-03      1.26e-01    1.20e-01    1.0e-03
   3325      3.84e+00    4.02e+00      2.06e-02    2.05e-02      1.21e-01    1.27e-01    1.0e-03
   3344      3.75e+00    3.90e+00      4.33e-03    4.53e-03      1.18e-01    1.23e-01    1.0e-03
   3363      3.83e+00    3.84e+00      8.33e-03    8.51e-03      1.21e-01    1.21e-01    1.0e-03
   3382      3.85e+00    3.94e+00      4.82e-02    4.85e-02      1.22e-01    1.24e-01    1.0e-03
   3401      3.80e+00    4.07e+00      2.67e-02    2.67e-02      1.20e-01    1.29e-01    1.0e-03
   3420      3.81e+00    4.04e+00      5.20e-02    5.18e-02      1.21e-01    1.28e-01    1.0e-03
   3439      4.05e+00    4.12e+00      1.37e-02    1.38e-02      1.28e-01    1.30e-01    1.0e-03
   3458      4.44e+00    4.32e+00      1.11e-02    1.13e-02      1.40e-01    1.37e-01    1.0e-03
   3477      4.22e+00    4.13e+00      1.85e-02    1.85e-02      1.33e-01    1.31e-01    1.0e-03
   3496      3.99e+00    4.24e+00      6.54e-03    6.84e-03      1.26e-01    1.34e-01    1.0e-03
   3515      3.93e+00    4.20e+00      2.42e-02    2.48e-02      1.24e-01    1.33e-01    1.0e-03
   3534      4.08e+00    4.14e+00      1.39e-02    1.33e-02      1.29e-01    1.31e-01    1.0e-03
   3553      4.06e+00    4.01e+00      1.97e-02    2.01e-02      1.28e-01    1.27e-01    1.0e-03
   3572      3.92e+00    4.41e+00      1.25e-02    1.26e-02      1.24e-01    1.39e-01    1.0e-03
   3591      4.06e+00    4.07e+00      1.57e-02    1.59e-02      1.28e-01    1.29e-01    1.0e-03
   3610      4.10e+00    4.31e+00      1.85e-02    1.81e-02      1.30e-01    1.36e-01    1.0e-03
   3629      3.87e+00    3.94e+00      2.84e-02    2.87e-02      1.22e-01    1.25e-01    1.0e-03
   3648      3.65e+00    4.11e+00      3.88e-02    3.84e-02      1.15e-01    1.30e-01    1.0e-03
   3667      3.91e+00    3.88e+00      1.56e-02    1.57e-02      1.24e-01    1.23e-01    1.0e-03
   3686      4.07e+00    4.16e+00      9.42e-03    9.54e-03      1.29e-01    1.32e-01    1.0e-03
   3705      3.88e+00    4.07e+00      4.72e-02    4.73e-02      1.23e-01    1.29e-01    1.0e-03
   3724      3.78e+00    3.91e+00      6.35e-03    6.46e-03      1.19e-01    1.23e-01    1.0e-03
   3743      3.91e+00    4.20e+00      2.01e-02    2.09e-02      1.24e-01    1.33e-01    1.0e-03
   3762      3.80e+00    4.01e+00      2.94e-02    2.93e-02      1.20e-01    1.27e-01    1.0e-03
   3781      3.77e+00    3.92e+00      1.10e-02    1.13e-02      1.19e-01    1.24e-01    1.0e-03
   3800      3.97e+00    4.05e+00      2.51e-02    2.51e-02      1.26e-01    1.28e-01    1.0e-03
   3819      3.87e+00    4.12e+00      2.18e-02    2.21e-02      1.22e-01    1.30e-01    1.0e-03
   3838      3.94e+00    4.02e+00      1.00e-02    9.91e-03      1.25e-01    1.27e-01    1.0e-03
   3857      3.90e+00    3.97e+00      3.18e-02    3.19e-02      1.23e-01    1.26e-01    1.0e-03
   3876      3.84e+00    4.04e+00      5.28e-03    5.28e-03      1.22e-01    1.28e-01    1.0e-03
   3895      3.97e+00    3.90e+00      1.90e-03    1.77e-03      1.26e-01    1.23e-01    1.0e-03
   3914      4.65e+00    4.82e+00      3.46e-02    3.41e-02      1.47e-01    1.52e-01    1.0e-03
   3933      3.83e+00    3.86e+00      5.78e-02    5.77e-02      1.21e-01    1.22e-01    1.0e-03
   3952      3.77e+00    3.93e+00      3.29e-02    3.23e-02      1.19e-01    1.24e-01    1.0e-03
   3971      3.69e+00    3.82e+00      5.85e-03    5.94e-03      1.17e-01    1.21e-01    1.0e-03
   3990      3.87e+00    3.91e+00      4.40e-02    4.38e-02      1.22e-01    1.24e-01    1.0e-03
   4009      3.86e+00    3.94e+00      1.05e-02    1.05e-02      1.22e-01    1.25e-01    1.0e-03
   4028      3.67e+00    3.94e+00      9.35e-03    9.47e-03      1.16e-01    1.25e-01    1.0e-03
   4047      4.10e+00    4.20e+00      1.71e-03    1.63e-03      1.30e-01    1.33e-01    1.0e-03
   4066      3.73e+00    3.97e+00      2.03e-02    2.04e-02      1.18e-01    1.25e-01    1.0e-03
   4085      3.99e+00    4.11e+00      1.78e-02    1.80e-02      1.26e-01    1.30e-01    1.0e-03
   4104      4.36e+00    4.42e+00      2.43e-02    2.41e-02      1.38e-01    1.40e-01    1.0e-03
