Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
12.5500       -451.7864    -454.4001       2.6137   326.1
12.6000       -451.5447    -454.0430       2.4983   311.7
12.6500       -451.6480    -454.0762       2.4282   303.0
12.7000       -451.4914    -453.8397       2.3483   293.0
12.7500       -451.2740    -453.8262       2.5522   318.5
12.8000       -451.3569    -453.8690       2.5121   313.5
12.8500       -451.1888    -453.6630       2.4742   308.7
12.9000       -450.9193    -454.0759       3.1566   393.9
12.9500       -450.6596    -453.4125       2.7529   343.5
13.0000       -450.8268    -453.4755       2.6487   330.5
13.0500       -450.9566    -453.5233       2.5667   320.3
13.1000       -450.8336    -453.3563       2.5227   314.8
13.1500       -451.3698    -454.0371       2.6673   332.8
13.2000       -451.2460    -453.8830       2.6370   329.0
13.2500       -451.5071    -454.1090       2.6019   324.7
13.3000       -452.0124    -454.0669       2.0545   256.4
13.3500       -451.6044    -454.2390       2.6346   328.7
13.4000       -451.8869    -453.9637       2.0768   259.1
13.4500       -451.7698    -454.1509       2.3811   297.1
13.5000       -451.6696    -454.0731       2.4035   299.9
13.5500       -451.1382    -453.8375       2.6993   336.8
13.6000       -451.0079    -453.4710       2.4631   307.3
13.6500       -451.0723    -453.8908       2.8184   351.7
13.7000       -451.3676    -453.6693       2.3016   287.2
13.7500       -451.2242    -453.9895       2.7654   345.1
13.8000       -451.7761    -454.0950       2.3189   289.3
13.8500       -451.9657    -454.0789       2.1133   263.7
13.9000       -451.8349    -454.0421       2.2072   275.4
13.9500       -451.7320    -454.1278       2.3958   298.9
14.0000       -451.8625    -454.2782       2.4158   301.4
14.0500       -451.6717    -453.9447       2.2730   283.6
14.1000       -451.6502    -453.9864       2.3361   291.5
14.1500       -451.3655    -453.9281       2.5627   319.8
14.2000       -451.5173    -454.0003       2.4830   309.8
14.2500       -451.3300    -454.1217       2.7918   348.4
14.3000       -451.5255    -454.1975       2.6720   333.4
14.3500       -451.3301    -453.6414       2.3113   288.4
14.4000       -451.4720    -453.7659       2.2940   286.2
14.4500       -451.3987    -453.7804       2.3818   297.2
14.5000       -451.9385    -454.2228       2.2842   285.0
14.5500       -451.5778    -453.6982       2.1204   264.6
14.6000       -451.2563    -454.0393       2.7830   347.3
14.6500       -451.6637    -454.0814       2.4177   301.7
14.7000       -451.3231    -454.1303       2.8071   350.3
14.7500       -451.8652    -454.3042       2.4390   304.3
14.8000       -451.7754    -454.0830       2.3076   287.9
14.8500       -451.6678    -454.0221       2.3542   293.8
14.9000       -451.4650    -453.9382       2.4731   308.6
14.9500       -451.4944    -453.9316       2.4372   304.1
15.0000       -451.7719    -454.1927       2.4208   302.1
15.0500       -452.1288    -454.5500       2.4212   302.1
15.1000       -452.0163    -454.3366       2.3203   289.5
15.1500       -451.9887    -454.5563       2.5676   320.4
15.2000       -452.0763    -454.1928       2.1164   264.1
15.2500       -452.0384    -454.3585       2.3202   289.5
15.3000       -451.9716    -454.2743       2.3026   287.3
15.3500       -452.1671    -454.0501       1.8830   235.0
15.4000       -452.3362    -454.5576       2.2215   277.2
15.4500       -452.5533    -454.5781       2.0248   252.7
15.5000       -452.3454    -454.1318       1.7864   222.9
15.5500       -451.8939    -454.0634       2.1695   270.7
15.6000       -451.9764    -454.2141       2.2378   279.2
15.6500       -452.2730    -454.1342       1.8612   232.2
15.7000       -452.0172    -454.2780       2.2609   282.1
15.7500       -451.7844    -454.0657       2.2813   284.7
15.8000       -451.5511    -454.0080       2.4569   306.6
15.8500       -451.5832    -453.8856       2.3024   287.3
