#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    534      2.83e+00    2.91e+00      2.36e-05    1.78e-03      2.10e-01    2.16e-01    1.8e-04
    537      2.70e+00    2.92e+00      5.33e-04    3.27e-03      2.00e-01    2.17e-01    1.8e-04
    540      2.97e+00    2.91e+00      4.60e-03    3.82e-03      2.20e-01    2.15e-01    1.8e-04
    543      2.93e+00    2.96e+00      1.67e-03    3.15e-03      2.17e-01    2.19e-01    1.8e-04
    546      3.58e+00    2.93e+00      1.88e-04    2.09e-03      2.65e-01    2.17e-01    1.8e-04
    549      2.62e+00    2.95e+00      2.85e-04    2.52e-03      1.94e-01    2.19e-01    1.8e-04
    552      3.22e+00    2.85e+00      3.20e-03    2.61e-03      2.39e-01    2.11e-01    1.8e-04
    555      2.86e+00    2.87e+00      9.47e-04    1.66e-03      2.12e-01    2.13e-01    1.8e-04
    558      2.93e+00    2.90e+00      5.45e-04    1.59e-03      2.18e-01    2.15e-01    1.8e-04
    561      2.53e+00    2.91e+00      2.34e-03    2.03e-03      1.88e-01    2.15e-01    1.8e-04
    564      2.72e+00    2.90e+00      9.79e-04    3.76e-03      2.01e-01    2.15e-01    1.8e-04
    567      3.11e+00    2.90e+00      3.00e-03    3.91e-03      2.30e-01    2.15e-01    1.8e-04
    570      2.81e+00    2.88e+00      1.14e-03    2.75e-03      2.08e-01    2.14e-01    1.8e-04
    573      2.88e+00    2.94e+00      3.16e-03    2.40e-03      2.14e-01    2.18e-01    1.8e-04
    576      3.02e+00    2.85e+00      4.69e-03    2.27e-03      2.24e-01    2.12e-01    1.8e-04
    579      3.00e+00    2.89e+00      1.27e-03    2.26e-03      2.23e-01    2.14e-01    1.8e-04
    582      2.87e+00    2.93e+00      3.22e-03    2.10e-03      2.13e-01    2.17e-01    1.8e-04
    585      2.66e+00    2.93e+00      1.52e-03    1.97e-03      1.97e-01    2.17e-01    1.8e-04
    588      2.79e+00    2.85e+00      7.00e-04    1.57e-03      2.07e-01    2.12e-01    1.8e-04
    591      2.90e+00    2.89e+00      2.89e-03    1.50e-03      2.15e-01    2.14e-01    1.8e-04
    594      3.09e+00    2.79e+00      5.64e-03    1.98e-03      2.29e-01    2.07e-01    1.8e-04
    597      2.88e+00    2.87e+00      1.54e-03    2.02e-03      2.14e-01    2.13e-01    1.8e-04
    600      2.60e+00    2.43e+00      1.16e-03    1.83e-03      2.29e-01    2.14e-01    1.3e-04
    603      2.36e+00    2.41e+00      1.56e-04    1.75e-03      2.07e-01    2.12e-01    1.3e-04
    606      2.98e+00    2.47e+00      7.31e-05    1.84e-03      2.62e-01    2.17e-01    1.3e-04
    609      2.46e+00    2.47e+00      8.76e-04    1.47e-03      2.16e-01    2.18e-01    1.3e-04
    612      2.54e+00    2.45e+00      2.87e-03    1.75e-03      2.23e-01    2.15e-01    1.3e-04
    615      2.45e+00    2.45e+00      1.29e-03    1.33e-03      2.15e-01    2.15e-01    1.3e-04
    618      2.53e+00    2.41e+00      1.46e-03    1.46e-03      2.22e-01    2.12e-01    1.3e-04
    621      2.41e+00    2.42e+00      1.83e-03    1.55e-03      2.12e-01    2.12e-01    1.3e-04
    624      2.35e+00    2.42e+00      1.54e-04    2.15e-03      2.07e-01    2.13e-01    1.3e-04
    627      2.39e+00    2.45e+00      1.38e-03    3.09e-03      2.10e-01    2.15e-01    1.3e-04
    630      2.27e+00    2.45e+00      4.19e-03    2.36e-03      2.00e-01    2.15e-01    1.3e-04
    633      2.53e+00    2.45e+00      2.50e-03    2.39e-03      2.23e-01    2.16e-01    1.3e-04
    636      2.66e+00    2.45e+00      2.48e-03    1.62e-03      2.34e-01    2.15e-01    1.3e-04
    639      2.47e+00    2.42e+00      2.72e-03    2.20e-03      2.18e-01    2.13e-01    1.3e-04
    642      2.69e+00    2.46e+00      6.72e-05    2.38e-03      2.37e-01    2.16e-01    1.3e-04
    645      2.41e+00    2.45e+00      1.59e-03    1.80e-03      2.12e-01    2.15e-01    1.3e-04
    648      2.19e+00    2.44e+00      3.01e-03    1.93e-03      1.92e-01    2.14e-01    1.3e-04
    651      2.42e+00    2.41e+00      4.06e-03    1.99e-03      2.13e-01    2.12e-01    1.3e-04
    654      2.11e+00    2.45e+00      2.11e-03    1.83e-03      1.86e-01    2.15e-01    1.3e-04
    657      2.59e+00    2.41e+00      4.79e-03    1.69e-03      2.28e-01    2.12e-01    1.3e-04
    660      2.43e+00    2.44e+00      3.27e-03    1.58e-03      2.14e-01    2.14e-01    1.3e-04
    663      2.66e+00    2.42e+00      4.15e-03    1.52e-03      2.34e-01    2.13e-01    1.3e-04
    666      2.25e+00    2.44e+00      1.57e-03    1.63e-03      1.98e-01    2.14e-01    1.3e-04
    669      2.23e+00    2.42e+00      1.31e-03    1.88e-03      1.96e-01    2.12e-01    1.3e-04
    672      2.33e+00    2.38e+00      6.67e-05    1.82e-03      2.05e-01    2.09e-01    1.3e-04
